CN	Name	Rarity	Normal	Foil	Etched Foil	Borderless	Borderless Foil	Textured Foil
270	Roon of the Hidden Realm	R	0.0	14.95	32.0	-	-	-
271	Ruric Thar, the Unbowed	R	0.84	1.95	7.95	-	-	-
272	Scab-Clan Giant	U	0.68	0.28	-	-	-	-
27	Scale Blessing	U	0.68	0.18	-	-	-	-
86	Scion of Darkness	U	2.98	4.95	-	-	-	-
123	Seasoned Pyromancer	M	22.39	75.0	50.0	58.98	124.95	-
273	Sedraxis Specter	U	0.09	0.28	-	-	-	-
274	Sedris, the Traitor King	M	5.0	40.0	35.0	13.26	59.95	-
28	Seeker of the Way	C	0.48	0.98	-	0.0	1.95	-
87	Seekers' Squire	C	0.48	0.18	-	-	-	-
330	Selesnya Sanctuary	U	0.25	3.99	-	8.29	9.95	-
314	Sensei's Divining Top	R	28.37	59.95	125.0	62.35	299.95	-
29	Sensor Splicer	C	0.1	0.13	-	-	-	-
30	Settle Beyond Reality	C	0.2	0.18	-	-	-	-
88	Severed Strands	C	0.1	0.98	-	-	-	-
89	Shadowborn Apostle	C	3.46	4.95	-	-	-	-
275	Shattergang Brothers	R	0.35	9.95	11.95	-	-	-
276	Sidisi, Brood Tyrant	R	0.0	4.95	25.0	-	-	-
331	Simic Growth Chamber	U	0.76	10.0	-	12.55	9.95	-
90	Skeleton Archer	C	0.48	0.98	-	-	-	-
91	Skinrender	U	0.14	0.85	-	-	-	-
277	Skullbriar, the Walking Grave	R	2.86	19.95	59.95	-	-	-
31	Smothering Tithe	R	25.27	35.0	99.95	44.2	99.95	-
124	Sparkmage's Gambit	C	0.1	0.98	-	-	-	-
63	Spell Pierce	C	0.19	2.9	-	9.97	11.95	-
158	Spider Spawning	U	0.0	0.38	-	-	-	-
159	Splinterfright	R	0.97	0.75	4.95	-	-	-
278	Sprouting Thrinax	U	0.68	0.23	-	-	-	-
125	Staggershock	U	0.68	0.48	-	-	-	-
126	Storm Fleet Pyromancer	C	0.48	0.13	-	-	-	-
92	Strands of Undeath	C	0.48	0.98	-	-	-	-
279	Sultai Soothsayer	U	0.68	0.23	-	-	-	-
160	Summer Bloom	U	2.0	14.95	-	-	-	-
93	Supernatural Stamina	C	0.48	0.98	-	-	-	-
280	Supreme Verdict	R	7.39	9.95	29.95	0.0	49.9	-
94	Surgical Extraction	R	11.33	15.0	-	27.24	34.95	-
127	Surreal Memoir	U	0.68	0.23	-	-	-	-
64	Talrand, Sky Summoner	R	0.14	0.5	12.0	-	-	-
281	Tariel, Reckoner of Souls	R	2.45	14.95	32.0	-	-	-
32	Teferi's Protection	R	25.84	50.0	75.0	35.99	99.95	-
282	Teneb, the Harvester	R	0.86	65.0	75.0	-	-	-
283	Tenth District Legionnaire	C	0.19	1.0	-	-	-	-
284	Terminate	U	0.68	2.45	-	5.56	7.95	-
254	The Mimeoplasm	R	2.79	7.95	30.0	6.88	19.95	-
285	Thistledown Liege	R	0.86	3.95	12.0	-	-	-
65	Thought Scour	C	0.49	1.45	-	2.95	5.95	-
286	Thousand-Year Storm	R	4.75	11.0	34.95	18.39	39.95	-
287	Thraximundar	R	0.0	2.95	4.95	-	-	-
161	Thrive	C	0.2	0.18	-	-	-	-
315	Thrumming Stone	R	25.74	59.95	99.95	-	-	-
128	Titan's Strength	C	0.15	1.0	-	-	-	-
288	Tower Gargoyle	U	0.0	0.23	-	-	-	-
162	Travel Preparations	U	0.09	0.23	-	-	-	-
316	Traveler's Amulet	C	0.0	0.98	-	-	-	-
163	Tuskguard Captain	C	0.2	1.5	-	-	-	-
129	Twinflame	R	2.87	7.95	14.95	-	-	-
3	Ulamog, the Infinite Gyre	M	44.04	150.0	105.0	95.33	249.95	698.99
289	Ulasht, the Hate Seed	R	0.0	3.95	5.95	-	-	-
95	Unburial Rites	U	0.0	1.95	-	-	-	-
96	Unearth	C	0.2	2.95	-	4.94	7.95	-
290	Uril, the Miststalker	M	10.47	150.0	200.0	-	-	-
97	Vampire Sovereign	U	0.2	0.38	-	-	-	-
98	Vampiric Rites	U	0.19	3.2	-	-	-	-
291	Varina, Lich Queen	R	1.75	2.95	25.0	-	-	-
317	Vedalken Orrery	R	13.81	39.95	45.0	36.08	99.95	-
66	Venser, Shaper Savant	R	1.62	4.0	30.0	-	-	-
292	Villainous Wealth	R	2.5	2.5	13.0	-	-	-
33	Wall of Omens	U	0.37	7.99	-	4.32	7.45	-
130	Warrior's Oath	M	59.74	349.0	599.0	-	-	-
67	Wash Out	U	0.99	2.95	-	-	-	-
293	Wasitora, Nekoru Queen	R	2.43	45.0	65.0	-	-	-
34	Weathered Wayfarer	R	6.21	19.95	29.95	-	-	-
164	Webweaver Changeling	C	0.29	0.98	-	-	-	-
294	Wilt-Leaf Liege	R	1.05	1.95	22.0	-	-	-
295	Winged Coatl	C	0.48	1.25	-	-	-	-
35	Wingsteed Rider	C	0.48	0.18	-	-	-	-
296	Wrenn and Six	M	60.81	250.0	194.95	106.24	324.95	849.95
99	Yahenni, Undying Partisan	R	2.9	7.5	25.0	-	-	-
131	Young Pyromancer	U	0.0	0.95	-	4.95	4.95	-
297	Zur the Enchanter	R	2.99	5.0	5.95	-	-	-
